"Refugees and people in a refugee-like situation, excluding asylum-seekers, and changes by origin and country of asylum, 2009",,,,,,,,,,,,,,,,,,,,
"The refugee population is included in this table if the number was 5,000 or more at the end of 2009.",,,,,,,,,,,,,,,,,,,,
"N.B. For 24 industrialized countries, UNHCR has estimated the refugee population based on 10 years of asylum-seeker recognition.",,,,,,,,,,,,,,,,,,,,
"The columns ""Major increases"" and ""Major decreases"" exclude population changes resulting from administrative corrections, adjustments as a result of registration, new estimates as well as births and deaths. In some cases, the population at the end of 2009 does not equal the population at the start of 2009 plus increases and decreases. This discrepancy is due to the fact that the voluntary repatriation figures include estimates from countries of return. In addition, the full details of the changes in the refugee population in industrialized countries are often unknown.",,,,,,,,,,,,,,,,,,,,
"Voluntary repatriation* shows a best estimate, based on country of asylum and country of origin reports. Numbers below 5 have been replaced with an asterisk.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Population start-2009,,Major increases,,,,,,Major decreases during 2009,,,,,,,,,Population end-2009,
Colombia,Canada,13080,0,0,2431,888,0,0,3319,0,0,0,0,0,0,0,0,0,14300,0
Colombia,Costa Rica,9939,9939,0,337,0,0,0,337,0,0,77,77,0,0,0,0,77,10199,10199
Colombia,Ecuador,18784,18784,0,26223,0,0,0,26223,0,0,597,597,0,0,30,0,627,115745,44380
Colombia,Panama,1303,1197,0,25,0,0,0,25,29,29,0,0,0,0,0,0,29,15299,3088
Colombia,United States,26446.6,0,0,692,85,0,0,777,0,0,0,0,0,570,0,0,570,27002.8,0
Colombia,Venezuela (Boliv. Rep. of),1094,776,0,210,0,0,0,210,17,17,43,43,0,0,0,0,60,201244,20923
Congo,Gabon,7674,7674,0,6,0,46,178,230,46,46,326,326,0,0,9,0,381,7523,7523
Côte d'Ivoire,Liberia,6607,6607,0,43,0,0,0,43,0,0,2,2,0,0,0,234,236,6414,6414
Croatia,Bosnia and Herzegovina,7070,1296,0,0,0,0,488,488,617,616,0,0,0,0,0,0,617,6941,1296
Croatia,Serbia,69505,69505,0,0,0,0,0,0,92,92,0,0,0,0,2,7266,7360,62145,62145
Dem. Rep. of the Congo,Angola,11900,4711,0,1,0,549,946,1496,0,0,0,0,0,0,32,0,32,13364,4500
Dem. Rep. of the Congo,Burundi,20757,20757,0,2630,0,549,2348,5527,49,49,200,200,0,0,13,1411,1673,24614,24614
Dem. Rep. of the Congo,Canada,5687,0,0,178,856,0,0,1034,0,0,0,0,0,0,0,0,0,5284,0
Dem. Rep. of the Congo,Central African Rep.,1536,590,19244,139,0,0,0,19383,7,7,6,6,0,0,7,0,20,20899,590
Dem. Rep. of the Congo,Congo,13973,13657,94083,33,0,19,0,94135,85,85,51,51,0,0,6,4770,4912,103213,1325
Dem. Rep. of the Congo,France,9952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10841,0
Dem. Rep. of the Congo,Germany,4418,0,0,44,0,0,0,44,0,0,0,0,0,0,0,0,0,6093,0
Dem. Rep. of the Congo,Rwanda,52409,52409,0,39,0,1227,363,1629,0,0,269,269,0,0,122,0,391,53647,53647
Dem. Rep. of the Congo,South Africa,10999,0,0,779,0,0,0,779,14,14,56,56,0,0,0,0,70,11708,0
Dem. Rep. of the Congo,Sudan,5447,5447,14869,2,0,22,1,14894,0,0,0,0,0,0,4,628,632,19709,13513
Dem. Rep. of the Congo,Uganda,76498,76498,16439,4426,0,1999,269,23133,25616,0,438,438,0,0,40,362,26456,73175,73175
Dem. Rep. of the Congo,United Kingdom,6673,0,0,105,0,0,0,103,0,0,0,0,0,0,0,0,0,5561,0
Dem. Rep. of the Congo,United Rep. of Tanzania,79706,79706,0,31,0,2782,24722,27535,1458,1458,439,439,0,0,0,42069,43966,63275,63275
Dem. Rep. of the Congo,Zambia,47329,30630,0,80,0,573,116,769,16985,16985,113,113,0,0,20,9015,26133,21965,13708
Eritrea,Ethiopia,21018,21018,0,16724,0,646,257,17627,0,0,1744,1744,0,0,51,686,2481,36164,36164
Eritrea,Israel,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11852,4670
Eritrea,Italy,9033,0,0,1346,0,0,0,1346,0,0,0,0,0,0,0,0,0,10377,0
Eritrea,Sudan,124785,57999,17,10148,0,1824,1958,13947,1,1,263,150,0,0,118,24822,25204,113528,64109
Eritrea,United Kingdom,7701,0,0,1130,0,0,0,1128,0,0,0,0,0,0,0,0,0,8829,0
Ethiopia,Kenya,22649,22649,0,1306,0,574,8686,10566,0,0,475,475,0,0,98,15539,16112,17103,17103
Ethiopia,Sudan,8621,4648,59,294,0,64,561,978,9,9,89,20,10,0,5,316,429,9170,4736
Ethiopia,United States,12514.8,0,0,1026,345,0,0,1371,0,0,0,0,0,2379,0,0,2379,12237.8,0
Georgia,Ukraine,76,9,0,4,0,0,11,15,0,0,0,0,6,6,0,0,12,5079,12
Ghana,Togo,8113,54,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,8073,14
Haiti,United States,18174.6,0,0,864,0,0,0,864,0,0,0,0,0,390,0,0,390,18733.2,0
India,Canada,6718,0,0,188,14,0,0,202,0,0,0,0,0,0,0,0,0,6245,0
India,United States,9482.8,0,0,404,0,0,0,404,0,0,0,0,0,1167,0,0,1167,8954.6,0
Indonesia,Papua New Guinea,5000,2634,0,0,0,0,0,0,311,0,0,0,0,0,0,0,311,9689,2634
Indonesia,United States,7845.4,0,0,265,0,0,0,265,0,0,0,0,0,330,0,0,330,6558.4,0
"Iran, Islamic Rep. of",Germany,15816,0,0,597,0,0,0,597,0,0,0,0,0,0,0,0,0,20226,0
"Iran, Islamic Rep. of",Iraq,10823,10823,309,118,0,25,1426,1878,0,0,35,35,0,0,32,233,300,12401,12401
"Iran, Islamic Rep. of",United Kingdom,10320,0,0,850,0,0,0,850,0,0,0,0,0,0,0,0,0,10845,0
"Iran, Islamic Rep. of",United States,6347.2,0,0,302,5437,0,0,5739,0,0,0,0,0,2393,0,0,2393,5731.2,0
Iraq,Australia,5945,0,0,261,2464,0,0,2725,0,0,0,0,0,0,0,0,0,5663,0
Iraq,Denmark,7102,0,0,145,17,0,0,162,320,0,0,0,0,0,0,0,320,5467,0
Iraq,Egypt,10091,10091,595,0,0,45,25,665,1900,671,680,369,0,0,5,2503,5088,6572,6572
Iraq,Germany,38854,0,0,5727,2069,0,0,7796,530,0,0,0,0,0,0,0,530,49033,0
Iraq,Islamic Rep. of Iran,44444,44444,0,1,0,0,6678,6679,5620,3161,38,38,0,0,0,0,5658,47924,47924
Iraq2,Jordan,500000,52668,6517,0,0,332,455,7304,2470,274,5462,5462,0,0,42,51526,59500,450000,46600
Iraq,Lebanon,50000,10245,2623,3,0,255,1484,4365,310,68,2530,2530,0,0,1,1766,4607,50000,10500
Iraq,Netherlands,15553,0,0,1843,92,0,0,1935,450,0,0,0,0,0,0,0,450,16844,0
Iraq,Norway,7878,0,0,385,65,0,0,450,0,0,0,0,0,0,0,0,0,7253,0
Iraq,Sweden,32120,0,0,1557,369,0,0,1926,1990,0,0,0,0,0,0,0,1990,31558,0
Iraq2,Syrian Arab Rep.,1100000,197337,29505,0,0,1850,0,31355,18210,607,8696,8696,0,0,217,71835,98958,1050000,218500
Iraq,Turkey,7481,7481,0,3453,0,0,0,3453,350,0,4183,4183,0,0,0,557,5090,6194,6194
Iraq,United Kingdom,21483,0,0,445,0,0,0,444,340,0,0,0,0,0,0,0,340,21287,0
Iraq,United States,4787.6,0,0,748,19477,0,0,20225,660,0,0,0,0,1524,0,0,2184,5427.4,0
Lao People's Dem. Rep.,France,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7473,0
Lebanon,Germany,9650,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,12950,0
Liberia,Côte d'Ivoire,24256,24256,0,0,0,181,73,254,422,422,26,26,0,0,29,0,477,24033,24033
Liberia,Ghana,15797,15797,0,0,0,812,0,812,714,714,5,5,0,0,0,4414,5133,11476,11476
Liberia,Guinea,11097,11097,0,0,0,25,141,166,110,110,6,6,0,0,1,26,143,11120,11120
Liberia,Nigeria,5303,5303,0,0,0,0,15,15,68,68,0,0,0,0,0,7,75,5261,5261
Liberia,Sierra Leone,7778,7778,0,0,0,180,1212,1392,64,64,54,54,0,0,15,0,133,9037,9037
Mauritania,Mali,6157,6157,0,0,0,0,4343,4343,0,0,17,17,0,0,0,1,18,10482,10482
Mauritania,Senegal,32292,32292,0,0,0,8,1090,1098,12012,12012,0,0,0,0,1,0,12013,21377,21377
Mexico,Canada,4757,0,0,516,0,0,0,516,0,0,0,0,0,0,0,0,0,5000,0
Myanmar,Bangladesh,28337,28123,0,18,0,1051,17,1086,0,0,466,457,0,0,210,190,866,228557,28342
Myanmar,Malaysia,33715,33715,0,33802,0,0,2074,35876,0,0,7449,7449,0,0,43,706,8198,61412,61412
Myanmar,Thailand,111555,111555,0,6810,0,6109,0,12919,0,0,16460,16460,0,0,376,3531,20367,104107,104107
Myanmar,United States,5170.6,0,0,273,19920,0,0,20193,0,0,0,0,0,367,0,0,367,5021,0
Occupied Palestinian Territory3,Egypt,70174,174,0,8,0,3,0,11,0,0,7,7,0,0,0,154,161,70024,24
Occupied Palestinian Territory3,Iraq,12302,12302,259,0,0,38,18,315,0,0,687,687,0,0,0,0,687,11930,11930
Pakistan,Canada,15798,0,0,247,45,0,0,292,0,0,0,0,0,0,0,0,0,15346,0
Pakistan,Germany,4607,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,7383,0
Russian Federation,Austria,14122,0,0,1710,0,0,0,1710,0,0,0,0,0,0,0,0,0,15828,0
Russian Federation,France,7615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8942,0
Russian Federation,Germany,35505,0,0,185,0,0,0,185,0,0,0,0,0,0,0,0,0,37642,0
Russian Federation,Poland,12026,0,0,2479,0,0,0,2479,0,0,0,0,4,0,0,0,4,14510,0
Russian Federation,United States,7652,0,0,544,453,0,0,997,0,0,0,0,0,2432,0,0,2432,7433.6,0
Rwanda,Congo,7897,52,0,1,0,76,0,77,37,37,19,19,0,0,21,776,853,7121,99
Rwanda,Dem. Rep. of the Congo,22643,195,0,0,0,0,72656,72656,14780,14780,0,0,0,0,0,0,14780,80525,196
Rwanda,Uganda,16162,16162,0,571,0,701,959,2231,5701,5701,28,28,0,0,145,15,5889,15717,15717
Rwanda,Zambia,4898,2949,0,1,0,197,98,296,18,18,13,13,0,0,18,0,49,5145,3165
Senegal,Gambia,7546,6946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7546,6946
Senegal,Guinea-Bissau,7492,7492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7492,7492
Serbia,France,8395,0,0,0,0,0,0,0,82,6,0,0,0,0,0,0,82,9437,0
Serbia,Germany,98787,0,0,89,0,0,0,89,374,16,0,0,0,0,0,0,374,123700,0
Serbia,Montenegro,16210,16210,0,0,0,148,0,148,202,202,0,0,0,0,0,0,202,16197,16197
Serbia,Sweden,8692,0,0,245,0,0,0,245,76,27,0,0,0,0,0,0,76,8852,0
Serbia,Switzerland,7397,0,0,384,0,0,0,384,232,9,0,0,0,0,0,0,232,6491,0
Serbia,United Kingdom,15242,0,0,15,0,0,0,17,47,0,0,0,0,0,0,0,47,8009,0
Somalia,Canada,6209,0,0,170,888,0,0,1058,0,0,0,0,0,0,0,0,0,5150,0
Somalia,Djibouti,8522,8390,3714,0,0,467,433,4614,0,0,10,10,0,0,67,1861,1938,11198,10694
Somalia,Egypt,5600,5600,0,606,0,81,31,718,38,1,136,82,0,0,6,42,222,6096,6096
Somalia,Ethiopia,33625,33625,23552,2201,0,1080,643,27476,0,0,533,533,0,0,273,1315,2121,58980,58980
Somalia,Italy,5251,0,0,2500,0,0,0,2500,0,0,0,0,0,0,0,0,0,7747,0
Somalia,Kenya,259121,259121,72476,686,0,10514,28758,112434,0,0,3612,3612,0,0,5758,51905,61275,310280,310280
Somalia,Netherlands,8565,0,0,3536,17,0,0,3553,0,0,0,0,0,0,0,0,0,11068,0
Somalia,Norway,6977,0,0,683,9,0,0,692,0,0,0,0,0,0,0,0,0,7064,0
Somalia,South Africa,8543,0,0,1213,0,0,0,1213,0,0,38,38,0,0,0,0,38,9718,0
Somalia,Sweden,6753,0,0,4100,50,0,0,4150,0,0,0,0,0,0,0,0,0,10636,0
Somalia,Uganda,6085,6085,0,1942,0,183,54,2179,0,0,82,82,0,0,3,7,92,8172,8172
Somalia,United Kingdom,31665,0,0,855,0,0,0,854,0,0,0,0,0,0,0,0,0,32299,0
Somalia,United States,10154,0,0,316,4620,0,0,4936,0,0,0,0,0,2614,0,0,2614,7112.2,0
Somalia,Yemen,132275,132275,31980,0,0,222,0,32202,21,21,247,247,0,0,48,2694,3010,161468,161468
Sri Lanka,Canada,20442,0,0,981,77,0,0,1058,0,0,0,0,0,0,0,0,0,19143,0
Sri Lanka,France,18102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20464,0
Sri Lanka,Germany,6594,0,0,458,0,0,0,458,0,0,0,0,0,0,0,0,0,12248,0
Sri Lanka,India,73286,0,1265,0,0,0,0,1265,1480,823,0,0,0,0,0,850,2330,72883,0
Sri Lanka,United Kingdom,8725,0,0,540,0,0,0,540,0,0,0,0,0,0,0,0,0,8615,0
Stateless,Germany,4202,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,5097,0
Sudan,Chad,250052,250050,16197,0,0,9646,5159,31002,966,2,117,117,0,0,2084,30852,34019,262194,248001
Sudan,Egypt,10146,10146,0,361,0,222,37,620,527,527,145,117,11,0,11,433,1127,9818,9818
Sudan,Ethiopia,25913,25913,0,26,0,1200,628,1854,1023,1023,35,35,0,0,67,3126,4251,23516,23516
Sudan,Israel,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5502,4580
Sudan,Kenya,28496,28496,0,185,0,640,1993,2818,665,665,101,101,0,0,30,10203,10999,20315,20315
Sudan,Uganda,56883,56883,0,2797,0,2325,3649,8771,29917,29917,52,52,0,0,141,14740,44850,20836,20836
Syrian Arab Rep.,Germany,8205,0,0,156,0,0,0,156,0,0,0,0,0,0,0,0,0,10217,0
TfYR Macedonia,Germany,5729,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6081,0
Tibetan,Nepal,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0
Togo,Benin,5600,5600,0,12,0,80,509,601,148,148,108,108,0,0,24,0,280,5921,5921
Turkey,France,10564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10895,0
Turkey,Germany,161919,0,0,221,0,0,0,221,0,0,0,0,0,0,0,0,0,101068,0
Turkey,Iraq,15716,15716,0,0,0,0,0,0,26,0,0,0,0,0,0,5591,5617,10125,10125
Turkey,United Kingdom,9219,0,0,65,0,0,0,67,0,0,0,0,0,0,0,0,0,7666,0
Ukraine,Germany,22156,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,18412,0
Venezuela (Boliv. Rep. of),United States,4718,0,0,378,3,0,0,381,0,0,0,0,0,192,0,0,192,5170.8,0
Viet Nam4,China,300897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300897,1
Viet Nam,France,8583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8771,0
Viet Nam,Germany,14043,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,25215,0
Western Sahara5,Algeria,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,90000
Western Sahara,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0
Zimbabwe,United Kingdom,9637,0,0,4480,0,0,0,4482,0,0,0,0,0,0,0,0,0,14119,0
Notes:,,,,,,,,,,,,,,,,,,,,
"1 Afghan refugee figures for Pakistan include individually recognized Afghan refugees (2,800), registered Afghans in refugee villages who are assisted by UNHCR (756,000), and registered Afghans outside refugee villages who are living in a “refugee-like” situation (981,000). Individuals in all categories have been issued a Proof of Registration Card by the Government of Pakistan. Following the completion of the registration exercise in 2007, those living outside refugee villages are now in the “refugee-like” category. They do not receive direct UNHCR material assistance but they benefit from advocacy and reintegration support upon return.",,,,,,,,,,,,,,,,,,,,
2 Refers to Government estimates.,,,,,,,,,,,,,,,,,,,,
3 Refers to Palestinians under the UNHCR mandate only.,,,,,,,,,,,,,,,,,,,,
"4 The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.",,,,,,,,,,,,,,,,,,,,
"5 According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps.",,,,,,,,,,,,,,,,,,,,
