Authority,Average sync speed (Mbit/s),Average sync speed score,Percentage not receiving 2Mbit/s,Percentage not receiving 2Mbit/s score,Superfast broadband availability,Superfast broadband availability score,Take-up (excluding superfast broadband),Take-up (excluding superfast broad - band) score,Overall score
City of Leicester,8.8,3,8.3%,2,89%,2,65%,3,2
City of Nottingham,9.1,3,8.2%,2,88%,2,62%,3,2
City of Peterborough,7.2,4,18.2%,4,76%,2,68%,3,3
City of Plymouth,8.7,3,10.3%,3,88%,2,69%,3,2
City of Portsmouth,8.9,3,10.2%,3,95%,1,67%,3,2
City of Southampton,8,3,10.3%,3,46%,4,67%,3,3
City of Stoke-on-Trent,7.6,4,13.5%,3,78%,2,58%,4,3
City of Wolverhampton District,9.1,3,6.9%,2,93%,1,60%,3,1
Clackmannanshire,5.6,5,27.8%,5,0%,5,65%,3,5
Coleraine,5.7,5,18.8%,4,98%,1,51%,4,3
Conwy - Conwy,5.7,5,18.6%,4,0%,5,60%,3,5
Cookstown,4.4,5,35.9%,5,98%,1,57%,4,4
Cornwall,6.5,4,18.1%,4,10%,5,67%,3,4
County Durham,6.3,4,20.2%,5,22%,5,60%,3,5
County of Herefordshire,5,5,23.8%,5,0%,5,67%,3,5
Coventry District,8.3,3,9.7%,2,66%,3,65%,3,2
Craigavon,5.6,5,26.5%,5,98%,1,61%,3,3
Cumbria County,6.1,4,21.1%,5,0%,5,63%,3,5
Darlington,7.8,4,14.5%,3,83%,2,62%,3,2
Derbyshire County,6.2,4,19.5%,4,38%,4,63%,3,4
Derry,6.5,4,20.5%,5,97%,1,56%,4,3
Devon County,6.4,4,17.2%,4,17%,5,69%,3,4
Doncaster District,7.2,4,16%,4,55%,3,61%,3,3
Dorset County,6.2,4,17.9%,4,9%,5,69%,3,4
Down,5.4,5,23.8%,5,93%,1,58%,4,4
Dudley District,8.5,3,8.8%,2,92%,1,62%,3,1
Dumfries and Galloway,6.1,4,15%,4,0%,5,59%,4,5
Dundee City,9.3,3,7.8%,2,88%,2,61%,3,2
Dungannon,4.7,5,33.2%,5,97%,1,57%,4,4
East Ayrshire,5.8,5,21.9%,5,0%,5,60%,3,5
East Dunbartonshire,9,3,7.7%,2,77%,2,73%,2,1
East Lothian,7.1,4,11.4%,3,0%,5,68%,3,4
East Renfrewshire,8.6,3,7.8%,2,86%,2,78%,2,1
East Riding of Yorkshire,6.4,4,14.8%,3,0%,5,61%,3,4
East Sussex County,6.7,4,15.6%,4,3%,5,71%,2,4
Essex County,6.8,4,16.9%,4,50%,3,72%,2,3
Falkirk,8.4,3,9.2%,2,81%,2,69%,3,2
Fermanagh,4.3,5,32.9%,5,96%,1,60%,3,3
Fife,7,4,14%,3,48%,4,65%,3,3
Gateshead District,8.8,3,8.9%,2,68%,3,61%,3,2
Glasgow City,8.9,3,10%,3,59%,3,58%,4,3
Gloucestershire County,6.6,4,17.6%,4,35%,4,70%,2,3
Gwynedd - Gwynedd,5.4,5,20.3%,5,0%,5,57%,4,5
Halton,7.4,4,19.1%,4,66%,3,65%,3,3
Hampshire County,7.2,4,15.3%,4,68%,3,75%,2,3
Hartlepool,7.9,4,18.3%,4,88%,2,57%,4,3
Hertfordshire County,7.7,4,14.1%,3,85%,2,76%,2,2
Highland,5.7,5,17.2%,4,0%,5,66%,3,5
Inverclyde,8.6,3,7%,2,69%,3,58%,4,2
Isle of Wight,7.3,4,12.4%,3,0%,5,64%,3,4
Isles of Scilly,4.5,5,24.8%,5,0%,5,66%,3,5
Kent County,6.8,4,17.3%,4,41%,4,70%,2,3
Kirklees District,7,4,17%,4,57%,3,63%,3,3
Knowsley District,7.8,4,17.1%,4,76%,2,62%,3,3
Lancashire County,7.4,4,14.8%,3,39%,4,66%,3,3
Larne,5.6,5,27.8%,5,90%,1,58%,4,4
Leeds District,7.9,4,14.1%,3,82%,2,64%,3,2
Leicestershire County,7.4,4,14.3%,3,64%,3,70%,2,2
Limavady,6.2,4,29.5%,5,98%,1,55%,4,3
Lincolnshire County,6.5,4,17.2%,4,23%,5,66%,3,4
Lisburn,5.4,5,28.8%,5,97%,1,64%,3,3
Liverpool District,9.5,3,6.6%,2,77%,2,59%,4,2
London,8.8,3,7.9%,2,85%,2,78%,2,1
Luton,8.1,3,16.3%,4,100%,1,68%,3,2
Magherafelt,5,5,26.6%,5,93%,1,59%,4,4
Manchester District,8.2,3,10.7%,3,78%,2,63%,3,2
Medway,8.2,3,13.8%,3,77%,2,70%,2,2
Merthyr Tudful - Merthyr Tydfil,6,4,21.9%,5,0%,5,55%,4,5
Middlesbrough,9,3,9.6%,2,91%,1,58%,4,2
Midlothian,6,4,21%,5,20%,5,67%,3,5
Milton Keynes,5.5,5,29.7%,5,90%,1,78%,2,3
Moray,5.7,5,16.2%,4,0%,5,67%,3,5
Moyle,5.2,5,24.3%,5,93%,1,47%,5,4
Na H-Eileanan an Iar,5.1,5,23%,5,0%,5,46%,5,5
Newcastle upon Tyne District,8.8,3,8.6%,2,63%,3,64%,3,2
Newry and Mourne,5.3,5,29.7%,5,94%,1,56%,4,4
Newtownabbey,7.2,4,19.8%,4,100%,1,68%,3,2
Norfolk County,6.4,4,17.6%,4,28%,5,66%,3,4
North Ayrshire,7.3,4,12.9%,3,0%,5,58%,4,4
North Down,5.4,5,26.1%,5,98%,1,64%,3,3
North East Lincolnshire,9.1,3,6.7%,2,90%,1,60%,3,1
North Lanarkshire,7.9,4,16.8%,4,68%,3,63%,3,3
North Lincolnshire,6.6,4,21.8%,5,41%,4,63%,3,4
North Somerset,7,4,13.4%,3,48%,4,72%,2,3
North Tyneside District,8.1,3,12.5%,3,59%,3,65%,3,2
North Yorkshire County,6.6,4,17.1%,4,15%,5,68%,3,4
Northamptonshire County,7.2,4,14.9%,3,59%,3,71%,2,2
Northumberland,6.3,4,18.9%,4,9%,5,66%,3,4
Nottinghamshire County,7.7,4,14.8%,3,65%,3,67%,3,3
Oldham District,7,4,18.5%,4,88%,2,59%,4,3
Omagh,5.5,5,31.9%,5,99%,1,56%,4,4
Orkney Islands,5.4,5,21.6%,5,0%,5,65%,3,5
Oxfordshire County,7,4,14.5%,3,62%,3,75%,2,2
Pen-y-bont ar Ogwr - Bridgend,6.3,4,21.6%,5,33%,4,65%,3,4
Perth and Kinross,6.9,4,13.4%,3,33%,4,67%,3,3
Poole,8,3,12.3%,3,78%,2,71%,2,2
Powys - Powys,5.3,5,21.2%,5,0%,5,62%,3,5
Reading,8.9,3,8.3%,2,98%,1,77%,2,1
Redcar and Cleveland,8.6,3,10.1%,3,87%,2,62%,3,2
Renfrewshire,8.4,3,10.7%,3,68%,3,64%,3,2
Rhondda Cynon Taf - Rhondda Cynon Taff,6.4,4,22.7%,5,27%,5,60%,3,5
Rochdale District,6.9,4,18.4%,4,58%,3,62%,3,3
Rotherham District,7.2,4,15.6%,4,55%,3,61%,3,3
Rutland,5.8,5,22.1%,5,0%,5,74%,2,5
Salford District,9.1,3,8.2%,2,75%,2,59%,4,2
Sandwell District,8.7,3,9.2%,2,78%,2,55%,4,2
Scottish Borders,5.9,5,14.7%,3,0%,5,63%,3,4
Sefton District,8.8,3,8.3%,2,68%,3,65%,3,2
Sheffield District,7.2,4,16.4%,4,70%,2,61%,3,3
Shetland Islands,5.5,5,19.9%,4,0%,5,71%,2,4
Shropshire,5.8,5,18.9%,4,3%,5,67%,3,5
Sir Benfro - Pembrokeshire,4.8,5,25.5%,5,0%,5,60%,3,5
Sir Ceredigion - Ceredigion,4.8,5,25.3%,5,0%,5,61%,3,5
Sir Ddinbych - Denbighshire,6.7,4,14.9%,3,0%,5,67%,3,4
Sir Fynwy - Monmouthshire,6.1,4,16.8%,4,16%,5,69%,3,4
Sir Gaerfyrddin - Carmarthenshire,5.3,5,25.6%,5,0%,5,60%,3,5
Sir y Fflint - Flintshire,5.7,5,21.5%,5,22%,5,68%,3,5
Sir Ynys Mon - Isle of Anglesey,5.4,5,21.9%,5,0%,5,60%,3,5
Slough,6.4,4,22.7%,5,98%,1,68%,3,3
Solihull District,8.3,3,10%,3,89%,2,68%,3,2
Somerset County,6,4,17.7%,4,4%,5,70%,2,4
South Ayrshire,6.4,4,14.8%,3,0%,5,62%,3,4
South Gloucestershire,8,3,13.4%,3,75%,2,72%,2,2
South Lanarkshire,7.7,4,15.2%,4,59%,3,65%,3,3
South Tyneside District,8.2,3,14.2%,3,77%,2,57%,4,2
Southend-on-Sea,9.3,3,5.8%,2,77%,2,68%,3,2
St. Helens District,8,3,14.7%,3,83%,2,63%,3,2
Staffordshire County,6.7,4,18.2%,4,47%,4,66%,3,4
Stirling,6.4,4,16.3%,4,0%,5,69%,3,4
Stockport District,8.8,3,8.3%,2,94%,1,67%,3,1
Stockton-on-Tees,8.3,3,14.2%,3,84%,2,64%,3,2
Strabane,5.8,5,26.1%,5,99%,1,52%,4,4
Suffolk County,6.3,4,19.8%,4,29%,5,69%,3,4
Sunderland District,6.9,4,18%,4,55%,3,60%,3,3
Surrey County,7.4,4,13.7%,3,77%,2,78%,2,2
Swindon,7.6,4,13.1%,3,87%,2,71%,2,2
Tameside District,7.7,4,10.5%,3,86%,2,61%,3,2
Telford and Wrekin,8.3,3,10.1%,3,75%,2,67%,3,2
The City of Brighton and Hove,9.3,3,8%,2,92%,1,80%,1,1
Thurrock,8,3,14.3%,3,75%,2,71%,2,2
Torbay,8.6,3,7%,2,42%,4,65%,3,2
Tor-faen - Torfaen,5.8,5,21.7%,5,27%,5,63%,3,5
Trafford District,8.5,3,9.4%,2,87%,2,72%,2,1
Wakefield District,6.8,4,20%,5,54%,3,62%,3,4
Walsall District,8.2,3,10.6%,3,87%,2,58%,4,2
Warrington,7.5,4,16.7%,4,76%,2,70%,2,2
Warwickshire County,6.8,4,18.1%,4,66%,3,70%,2,3
West Berkshire,6.9,4,14.2%,3,63%,3,77%,2,2
West Dunbartonshire,9.5,3,6.5%,2,89%,2,61%,3,2
West Lothian,7.5,4,13.7%,3,45%,4,70%,2,3
West Sussex County,7.3,4,13.3%,3,42%,4,73%,2,3
Wigan District,8.6,3,11.1%,3,87%,2,63%,3,2
Wiltshire,6.8,4,14.4%,3,43%,4,74%,2,3
Windsor and Maidenhead,5.6,5,24.4%,5,94%,1,78%,2,3
Wirral District,8.3,3,9.9%,2,60%,3,65%,3,2
Wokingham,7,4,18.9%,4,82%,2,78%,2,2
Worcestershire County,6.1,4,19%,4,59%,3,70%,2,3
Wrecsam - Wrexham,5.9,5,19.1%,4,0%,5,64%,3,5
York,7.1,4,13.5%,3,59%,3,70%,2,2
